Discriminación,Dificultad,"Probabilidad adivinar",Inatención,id,idPrueba,idItem,index_tri
0.2050,-0.0870,0,1,93,68,1,1
0.3270,-1.0840,0,1,97,69,1,2
0.5400,-0.3770,0,1,234,26,2,3
0.4810,-0.0160,0,1,303,69,2,4
0.3700,-1.0850,0,1,437,26,3,5
0.4720,-0.7850,0,1,502,68,3,6
0.3900,-1.1200,0,1,640,26,4,7
0.1890,-0.0310,0,1,705,68,4,8
0.2980,-1.2860,0,1,709,69,4,9
0.1800,-0.3800,0,1,843,26,5,10
0.3080,0.1900,0,1,912,69,5,11
0.2800,-0.2140,0,1,1044,26,6,12
0.3390,-0.7970,0,1,1109,68,6,13
0.2400,-0.1290,0,1,1113,69,6,14
0.2800,-0.4080,0,1,1444,26,8,15
0.3690,-0.1820,0,1,1509,68,8,16
0.3650,-0.4740,0,1,1513,69,8,17
0.2300,-0.5910,0,1,1644,26,9,18
0.5960,-0.7210,0,1,1713,69,9,19
0.6200,-0.9310,0,1,2043,26,11,20
0.3820,-0.0860,0,1,2105,68,11,21
0.2800,-0.6920,0,1,2435,26,13,22
0.2800,-0.2250,0,1,2497,68,13,23
0.2600,-0.4230,0,1,2630,26,14,24
0.2790,0.4630,0,1,2696,69,14,25
0.2900,0.1410,0,1,2825,26,15,26
0.2890,-0.9050,0,1,2887,68,15,27
0.2310,0.1120,0,1,2891,69,15,28
0.4100,-0.4100,0,1,3014,26,16,29
0.3080,-0.7420,0,1,3068,69,16,30
0.2900,-0.7530,0,1,3182,26,17,31
0.2500,-1.2100,0,1,3234,69,17,32
0.4100,-0.6950,0,1,3674,26,20,33
0.2230,-0.6230,0,1,3722,68,20,34
0.2120,-1.1250,0,1,3726,69,20,35
0.3200,-0.4300,0,1,3838,26,21,36
0.3070,-1.0140,0,1,3881,68,21,37
0.2880,-0.6290,0,1,3885,69,21,38
0.2100,-0.1180,0,1,3994,26,22,39
0.2010,-0.1210,0,1,4037,68,22,40
0.1920,-0.1710,0,1,4041,69,22,41
0.3010,-0.9260,0,1,4349,68,24,42
0.2120,-0.7950,0,1,4353,69,24,43
0.4200,-0.1850,0,1,4918,26,28,44
0.6540,-0.9400,0,1,4961,69,28,45
0.2400,-0.3670,0,1,5218,26,30,46
0.4490,-0.5670,0,1,5257,68,30,47
0.3300,-0.5700,0,1,5637,26,33,48
0.3170,-0.6530,0,1,5668,69,33,49
0.2900,0.1910,0,1,5772,26,34,50
0.2670,-0.6180,0,1,5799,68,34,51
0.2310,0.3660,0,1,5803,69,34,52
0.2500,-0.0870,0,1,6041,26,36,53
0.3170,-0.3550,0,1,6072,69,36,54
0.3100,-0.6240,0,1,6174,26,37,55
0.4620,-0.6850,0,1,6205,69,37,56
0.4200,-0.6580,0,1,6307,26,38,57
0.2991,-0.5450,0,1,6334,68,38,58
0.4130,-1.2840,0,1,6338,69,38,59
