Discriminación,Dificultad,"Probabilidad adivinar",Inatención,id,idPrueba,idItem,index_tri
0.2050,-0.0870,0,1,94,68,1,1
0.3270,-1.0840,0,1,98,69,1,2
0.5400,-0.3770,0,1,235,26,2,3
0.4810,-0.0160,0,1,304,69,2,4
0.3700,-1.0850,0,1,438,26,3,5
0.4720,-0.7850,0,1,503,68,3,6
0.3900,-1.1200,0,1,641,26,4,7
0.1890,-0.0310,0,1,706,68,4,8
0.2980,-1.2860,0,1,710,69,4,9
0.1800,-0.3800,0,1,844,26,5,10
0.3080,0.1900,0,1,913,69,5,11
0.2800,-0.2140,0,1,1045,26,6,12
0.3390,-0.7970,0,1,1110,68,6,13
0.2400,-0.1290,0,1,1114,69,6,14
0.2800,-0.4080,0,1,1445,26,8,15
0.3690,-0.1820,0,1,1510,68,8,16
0.3650,-0.4740,0,1,1514,69,8,17
0.2300,-0.5910,0,1,1645,26,9,18
0.5960,-0.7210,0,1,1714,69,9,19
0.6200,-0.9310,0,1,2044,26,11,20
0.3820,-0.0860,0,1,2106,68,11,21
0.2800,-0.6920,0,1,2436,26,13,22
0.2800,-0.2250,0,1,2498,68,13,23
0.2600,-0.4230,0,1,2631,26,14,24
0.2790,0.4630,0,1,2697,69,14,25
0.2900,0.1410,0,1,2826,26,15,26
0.2890,-0.9050,0,1,2888,68,15,27
0.2310,0.1120,0,1,2892,69,15,28
0.4100,-0.4100,0,1,3015,26,16,29
0.3080,-0.7420,0,1,3069,69,16,30
0.2900,-0.7530,0,1,3183,26,17,31
0.2500,-1.2100,0,1,3235,69,17,32
0.4100,-0.6950,0,1,3675,26,20,33
0.2230,-0.6230,0,1,3723,68,20,34
0.2120,-1.1250,0,1,3727,69,20,35
0.3200,-0.4300,0,1,3839,26,21,36
0.3070,-1.0140,0,1,3882,68,21,37
0.2880,-0.6290,0,1,3886,69,21,38
0.2100,-0.1180,0,1,3995,26,22,39
0.2010,-0.1210,0,1,4038,68,22,40
0.1920,-0.1710,0,1,4042,69,22,41
0.3010,-0.9260,0,1,4350,68,24,42
0.2120,-0.7950,0,1,4354,69,24,43
0.4200,-0.1850,0,1,4919,26,28,44
0.6540,-0.9400,0,1,4962,69,28,45
0.2400,-0.3670,0,1,5219,26,30,46
0.4490,-0.5670,0,1,5258,68,30,47
0.3300,-0.5700,0,1,5638,26,33,48
0.3170,-0.6530,0,1,5669,69,33,49
0.2900,0.1910,0,1,5773,26,34,50
0.2670,-0.6180,0,1,5800,68,34,51
0.2310,0.3660,0,1,5804,69,34,52
0.2500,-0.0870,0,1,6042,26,36,53
0.3170,-0.3550,0,1,6073,69,36,54
0.3100,-0.6240,0,1,6175,26,37,55
0.4620,-0.6850,0,1,6206,69,37,56
0.4200,-0.6580,0,1,6308,26,38,57
0.2991,-0.5450,0,1,6335,68,38,58
0.4130,-1.2840,0,1,6339,69,38,59
