Discriminación,Dificultad,"Probabilidad adivinar",Inatención,id,idPrueba,idItem,index_tri
0.8000,-1.4000,0,1,15,16,1,1
0.4000,-0.8000,0,1,88,66,1,2
1.4000,-1.8000,0,1,92,67,1,3
1.3000,-0.5000,0,1,221,16,2,4
1.1000,0.4000,0,1,294,66,2,5
1.5000,-0.9000,0,1,298,67,2,6
0.7000,0.1000,0,1,497,66,3,7
0.5000,0.3000,0,1,501,67,3,8
0.4000,-1.0000,0,1,627,16,4,9
1.0000,-0.8000,0,1,700,66,4,10
0.9000,0.8000,0,1,704,67,4,11
0.6000,-1.8000,0,1,830,16,5,12
0.3000,-1.1000,0,1,903,66,5,13
0.5000,-1.3000,0,1,907,67,5,14
0.7000,0.6000,0,1,1031,16,6,15
1.3000,0.7000,0,1,1104,66,6,16
1.3000,-1.6000,0,1,1108,67,6,17
2.0000,1.2000,0,1,1231,16,7,18
2.4000,1.1000,0,1,1304,66,7,19
2.1000,1.4000,0,1,1308,67,7,20
2.3000,0.6000,0,1,1431,16,8,21
1.9000,0.0000,0,1,1504,66,8,22
2.2000,0.7000,0,1,1508,67,8,23
0.4000,-0.3000,0,1,1631,16,9,24
1.3000,-0.4000,0,1,1704,66,9,25
2.0000,-0.4000,0,1,1831,16,10,26
1.8000,0.1000,0,1,1904,66,10,27
2.4000,0.1000,0,1,1908,67,10,28
0.7000,1.4000,0,1,2030,16,11,29
1.1000,1.6000,0,1,2100,66,11,30
0.6000,1.1000,0,1,2104,67,11,31
0.8000,0.1000,0,1,2226,16,12,32
1.1000,0.1000,0,1,2296,66,12,33
1.8000,-1.2000,0,1,2300,67,12,34
0.9000,-0.3000,0,1,2422,16,13,35
1.6000,-0.2000,0,1,2492,66,13,36
1.0000,0.3000,0,1,2496,67,13,37
0.8000,-0.3000,0,1,2617,16,14,38
1.9000,0.3000,0,1,2687,66,14,39
1.5000,0.1000,0,1,2691,67,14,40
0.7000,0.2000,0,1,2812,16,15,41
1.1000,0.6000,0,1,2882,66,15,42
0.6000,0.4000,0,1,2886,67,15,43
